Age,Taxa,Continent,Lat,Long
2425,Bison sp. metacarpal,North America,45.39496816806281,-105.63027722238407
2600,Bison sp. rib,North America,45.39496816806281,-105.63027722238407
515,Bison sp. skull,North America,37.43227044637204,-93.85050972385693
8980,Mammoth,North America,31.879671979781904,-109.75159583281211
3089,Bison sp. Calcaneus,North America,45.39496816806281,-105.63027722238407
2813,Bison sp. Ilium,North America,45.39496816806281,-105.63027722238407
8640,burned bison,North America,34.02115879823075,-103.48016614701184
8890,Mammuthus sp.,North America,45.4883496879772,-110.52684760362538
6130,Mammuthus sp. jaw,North America,45.54046274239278,-111.17032759909972
10230,Bison bison occidentalis hooves collagen,North America,38.82790726571214,-102.60335554667463
2335,Homo sapiens paleofece,North America,37.209004871183886,-86.23855280553352
2485,Homo sapiens paleofece,North America,37.209004871183886,-86.23855280553352
2575,Homo sapiens paleofece,North America,37.209004871183886,-86.23855280553352
2365,Homo sapiens paleofece,North America,37.209004871183886,-86.23855280553352
2485,Homo sapiens paleofece,North America,37.209004871183886,-86.23855280553352
2605,Homo sapiens paleofece,North America,37.209004871183886,-86.23855280553352
2700,Homo sapiens paleofece,North America,37.209004871183886,-86.23855280553352
2570,Homo sapiens paleofece,North America,37.300141763664094,-85.88480250849776
2410,Homo sapiens paleofece,North America,37.300141763664094,-85.88480250849776
2605,Homo sapiens paleofece,North America,37.300141763664094,-85.88480250849776
2590,Homo sapiens paleofece,North America,37.300141763664094,-85.88480250849776
2580,Homo sapiens paleofece,North America,37.300141763664094,-85.88480250849776
2500,Homo sapiens paleofece,North America,37.300141763664094,-85.88480250849776
340,Bison bone,North America,48.705013611904945,-112.99468952260627
270,Bison bone,North America,48.705013611904945,-112.99468952260627
447,Bison bone,North America,48.705013611904945,-112.99468952260627
275,bison,North America,40.524188011450235,-101.69784277218915
303,bison,North America,40.524188011450235,-101.69784277218915
250,bison,North America,40.524188011450235,-101.69784277218915
276,bison,North America,40.524188011450235,-101.69784277218915
2705,Homo sapiens paleofece,North America,37.300141763664094,-85.88480250849776
2675,Homo sapiens paleofece,North America,37.209004871183886,-86.23855280553352
