source_rock,setting,facies_class,basal_or_intrafill,toc_pct,kerogen_type,source_tag
Kimmeridge_Clay_NorthSea,rifted basin,finely_laminated_marine_shale,intrafill,3_10,II,Miller1990
La_Luna_Venezuela,passive margin,laminated_calcareous_shale,intrafill,3_6,II,Talukdar1993
Bazhenov_WestSiberia,intracratonic sag,laminated_marine_shale,intrafill,5_15,II,Kontorovich2018
Hanifa_Arabia,intrashelf basin,laminated_carbonate_shale,intrafill,2_10,II,Droste1990
Bakken_Williston,intracratonic,laminated_marine_shale,intrafill,5_20,II,Smith1996
Monterey_California,borderland,laminated_diatomaceous,intrafill,2_12,IIS,Isaacs1992
Woodford_Anadarko,intracratonic,laminated_siliceous_shale,intrafill,3_12,II,Cardott2012
