rho_inf_over_rho_core,M_rot,P_shock_Pa,P_shock_GPa,sigma_cent_Pa,sigma_cent_MPa,R_eq_m,R_eq_over_R0
1.0,1.5,4804098159.509203,4.804098159509203,4928400000.0,4928.4,,
3.020408163265306,1.5,4804098159.509203,4.804098159509203,1631700000.0,1631.7,4.462556145603034e-05,0.04462556145603034
5.040816326530612,1.5,4804098159.509203,4.804098159509203,977698785.4251013,977.6987854251013,4.218547183469194e-05,0.042185471834691936
7.061224489795918,1.5,4804098159.509203,4.804098159509203,697952601.1560694,697.9526011560694,4.1301868329699956e-05,0.04130186832969995
9.081632653061224,1.5,4804098159.509203,4.804098159509203,542677752.8089888,542.6777528089888,4.0844509558351674e-05,0.04084450955835167
11.102040816326529,1.5,4804098159.509203,4.804098159509203,443918382.3529413,443.91838235294125,4.0564738543239294e-05,0.04056473854323929
13.122448979591836,1.5,4804098159.509203,4.804098159509203,375570139.9688958,375.5701399688958,4.037589673239788e-05,0.04037589673239788
15.142857142857142,1.5,4804098159.509203,4.804098159509203,325460377.3584906,325.4603773584906,4.02398374905357e-05,0.0402398374905357
17.163265306122447,1.5,4804098159.509203,4.804098159509203,287148156.9560048,287.1481569560048,4.013713923007154e-05,0.04013713923007154
19.183673469387752,1.5,4804098159.509203,4.804098159509203,256905957.44680855,256.90595744680854,4.005686959124007e-05,0.04005686959124007
21.204081632653057,1.5,4804098159.509203,4.804098159509203,232426948.98941293,232.42694898941292,3.9992403296834126e-05,0.03999240329683412
23.224489795918366,1.5,4804098159.509203,4.804098159509203,212207029.87697718,212.20702987697717,3.993949094365603e-05,0.03993949094365603
25.24489795918367,1.5,4804098159.509203,4.804098159509203,195223605.4971706,195.2236054971706,3.989528149625034e-05,0.03989528149625034
27.265306122448976,1.5,4804098159.509203,4.804098159509203,180757185.62874255,180.75718562874255,3.985779074601848e-05,0.03985779074601847
29.285714285714285,1.5,4804098159.509203,4.804098159509203,168286829.2682927,168.2868292682927,3.9825595117353094e-05,0.03982559511735309
