M_rot,P_shock_Pa,P_shock_GPa,sigma_cent_Pa,sigma_cent_MPa,R_eq_m,R_eq_over_R0
0.3,98568000.0,0.098568,1971360.0,1.97136,0.0001272071123039966,0.1272071123039966
0.3586206896551724,140852356.7181926,0.1408523567181926,2817047.134363852,2.817047134363852,0.00011428860766837191,0.1142886076683719
0.41724137931034483,190663771.70035672,0.19066377170035673,3813275.4340071343,3.813275434007134,0.0001043642420330817,0.1043642420330817
0.4758620689655172,248002244.94649222,0.24800224494649223,4960044.898929845,4.960044898929844,9.644850353480163e-05,0.09644850353480162
0.5344827586206896,312867776.4565992,0.3128677764565992,6257355.529131983,6.257355529131983,8.995471389273841e-05,0.0899547138927384
0.593103448275862,385260366.2306777,0.3852603662306777,7705207.324613554,7.705207324613554,8.45095671603897e-05,0.0845095671603897
0.6517241379310345,465180014.2687277,0.46518001426872774,9303600.285374556,9.303600285374555,7.986304465699729e-05,0.07986304465699728
0.7103448275862069,552626720.5707492,0.5526267205707491,11052534.411414983,11.052534411414983,7.584074897335106e-05,0.07584074897335107
0.7689655172413793,647600485.136742,0.647600485136742,12952009.70273484,12.95200970273484,7.231693774062397e-05,0.07231693774062396
0.8275862068965516,750101307.966706,0.750101307966706,15002026.15933412,15.00202615933412,6.919842352060849e-05,0.06919842352060848
0.886206896551724,860129189.0606419,0.8601291890606418,17202583.781212837,17.202583781212837,6.641452509151868e-05,0.06641452509151868
0.9448275862068964,977684128.4185491,0.977684128418549,19553682.568370983,19.553682568370984,6.391055776930167e-05,0.06391055776930167
1.0034482758620689,26551068.068249397,0.026551068068249396,22055322.520808555,22.055322520808556,0.00031927100781057715,0.31927100781057716
1.0620689655172413,491903092.40387106,0.49190309240387103,24707503.638525564,24.707503638525566,7.927757915698191e-05,0.07927757915698191
1.1206896551724137,983669088.07073,0.98366908807073,27510225.921522,27.510225921522,6.3950064023343e-05,0.06395006402334301
1.1793103448275861,1501849055.0688264,1.5018490550688264,30463489.369797856,30.463489369797855,5.619297852528283e-05,0.05619297852528283
1.2379310344827585,2046442993.39816,2.04644299339816,33567293.983353145,33.567293983353146,5.1151092383529285e-05,0.05115109238352929
1.296551724137931,2617450903.05873,2.6174509030587303,36821639.76218787,36.82163976218787,4.747689570423737e-05,0.04747689570423737
1.3551724137931034,3214872784.0505385,3.2148727840505384,40226526.70630202,40.22652670630202,4.461607874568877e-05,0.04461607874568877
1.4137931034482758,3838708636.3735833,3.838708636373583,43781954.8156956,43.7819548156956,4.229012638938851e-05,0.042290126389388505
1.4724137931034482,4488958460.027866,4.488958460027867,47487924.0903686,47.4879240903686,4.0340563870176696e-05,0.0403405638701767
1.5310344827586206,5165622255.013386,5.1656222550133855,51344434.53032105,51.344434530321045,3.8669157061552876e-05,0.038669157061552877
1.589655172413793,5868700021.330142,5.868700021330142,55351486.13555291,55.35148613555291,3.721106428031835e-05,0.037211064280318354
1.6482758620689655,6598191758.978138,6.598191758978138,59509078.9060642,59.5090789060642,3.592137245473454e-05,0.035921372454734535
1.706896551724138,7354097467.95737,7.35409746795737,63817212.84185493,63.81721284185493,3.476776174121947e-05,0.034767761741219476
1.7655172413793103,8136417148.2678385,8.136417148267839,68275887.94292508,68.27588794292508,3.372624200328966e-05,0.033726242003289664
1.8241379310344827,8945150799.909544,8.945150799909545,72885104.20927466,72.88510420927466,3.277854246621883e-05,0.032778542466218835
1.8827586206896552,9780298422.882488,9.780298422882488,77644861.64090368,77.64486164090368,3.1910443672238635e-05,0.031910443672238636
1.9413793103448276,10641860017.186668,10.641860017186668,82555160.23781212,82.55516023781212,3.111067266857769e-05,0.031110672668577692
2.0,11529835582.822086,11.529835582822086,87616000.0,87.616,3.037014858099336e-05,0.03037014858099336
