EOS_model,parameter_set_label,P_shock_Pa,sigma_centrifugal_Pa,P_over_sigma,notes
Tait,baseline_n7p15_rho_core10,4804098159.509203,49284000.0,97.47784594410362,Baseline parameters used in main text order-of-magnitude estimate.
Tait,n8p0_rho_core10,4867555555.555555,49284000.0,98.76543209876543,Slightly higher Tait exponent (stiffer response).
Tait,n6p0_rho_core10,4693714285.714285,49284000.0,95.23809523809523,Lower Tait exponent (softer response).
Tait,baseline_n7p15_rho_core20,4804098159.509203,98568000.0,48.73892297205181,"Same shock conditions, but core twice as dense."
Tait,baseline_n7p15_rho_core5,4804098159.509203,24642000.0,194.95569188820724,"Same shock conditions, but core five times lighter."
stiffened_gas,gamma3p0_rho_core10,4107000000.0,49284000.0,83.33333333333333,Idealised stiffened-gas analogue with gamma_eff=3.
