entity,medgen_cui,omim_mim,genes,n_genes,inheritance_class,mechanism_class,organ_system_hint,in_scope,exclusion_reason,provenance
Hemifacial myohyperplasia,C1847521,606773,PIK3CA,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemochromatosis type 1,C3469186,235200,BMP2;HFE,2,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemochromatosis type 2A,C1865614,602390,HJV,1,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemochromatosis type 2B,C1865616,613313,HAMP,1,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemochromatosis type 3,C1858664,604250,TFR2,1,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemochromatosis type 4,C1853733,606069,SLC40A1,1,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemochromatosis type 5,C1851316,615517,FTH1,1,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemoglobin H disease,C3161174,613978,HBA1;HBA2,2,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
"Hemoglobin, high altitude adaptation",C1836778,609070,EGLN1,1,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemoglobinopathy,C0019045,,,0,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemolytic anemia due to adenylate kinase deficiency,C2675459,612631,AK1,1,PENDING_R2,PENDING_R2,metabolic|hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemolytic anemia due to erythrocyte adenosine deaminase overproduction,C1863235,301083,GATA1,1,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemolytic anemia due to glucophosphate isomerase deficiency,C0272064,613470,GPI,1,PENDING_R2,PENDING_R2,metabolic|hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemolytic anemia due to glutathione reductase deficiency,C5231513,618660,GSR,1,PENDING_R2,PENDING_R2,metabolic|hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemolytic anemia due to hexokinase deficiency,C3150343,235700,HK1,1,PENDING_R2,PENDING_R2,metabolic|hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemolytic anemia due to pyrimidine 5' nucleotidase deficiency,C1849507,266120,NT5C3A,1,PENDING_R2,PENDING_R2,metabolic|hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
"Hemolytic disease of fetus and newborn, RH-induced",C0748400,619462,RHD,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Hemolytic uremic syndrome, atypical, 8, with rhizomelic short stature",C5829585,301110,C1GALT1C1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Hemolytic uremic syndrome, atypical, susceptibility to, 1",C2749604,235400,CFH;CFHR1;CFHR3,3,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemolytic-uremic syndrome,C0019061,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Hemophagocytic lymphohistiocytosis, familial, 6",C5436563,618998,RC3H1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hemophilia,C0684275,,,0,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
"Hemorrhage, intracerebral, susceptibility to",C3281105,614519,COL4A1;COL4A2,2,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hengel-Maroofian-Schols syndrome,C5562032,619641,BCAS3,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hennekam lymphangiectasia-lymphedema syndrome 1,C4012050,235510,CCBE1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hennekam lymphangiectasia-lymphedema syndrome 2,C4014939,616006,FAT4,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hennekam lymphangiectasia-lymphedema syndrome 3,C4748408,618154,ADAMTS3,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Heparin cofactor II deficiency,C0398626,612356,SERPIND1,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
"Hepatic adenomas, familial",C1840646,142330,HNF1A,1,PENDING_R2,PENDING_R2,hepatic,true,,clinvar:gene_condition_source_id:2026-06-17
Hepatic methionine adenosyltransferase deficiency,C0268621,250850,MAT1A,1,PENDING_R2,PENDING_R2,metabolic|hepatic,true,,clinvar:gene_condition_source_id:2026-06-17
Hepatic veno-occlusive disease-immunodeficiency syndrome,C1856128,235550,SP110,1,PENDING_R2,PENDING_R2,metabolic|immunologic|hepatic,true,,clinvar:gene_condition_source_id:2026-06-17
"Hepatitis B virus, susceptibility to",C1864880,610424,IFNAR2;IFNGR1;IL10RB,3,PENDING_R2,PENDING_R2,hepatic,true,,clinvar:gene_condition_source_id:2026-06-17
"Hepatitis C virus infection, response to therapy of",C2750389,,,0,PENDING_R2,PENDING_R2,hepatic,true,,clinvar:gene_condition_source_id:2026-06-17
"Hepatitis C virus, susceptibility to",C1835407,609532,CCR5;IFNG;IFNL3,3,PENDING_R2,PENDING_R2,hepatic,true,,clinvar:gene_condition_source_id:2026-06-17
"Hepatitis, fulminant viral, susceptibility to",C5231406,618549,IL18BP,1,PENDING_R2,PENDING_R2,hepatic,true,,clinvar:gene_condition_source_id:2026-06-17
Hepatocellular carcinoma,C2239176,114550,APC;AXIN1;CASP8;CTNNB1;IGF2R;MET;PDGFRL;PIK3CA;TP53,9,PENDING_R2,PENDING_R2,hepatic|cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
Hepatoerythropoietic porphyria,C0162569,,UROD,1,PENDING_R2,PENDING_R2,hematologic|hepatic,true,,clinvar:gene_condition_source_id:2026-06-17
Hepatorenocardiac degenerative fibrosis,C5676996,619902,TULP3,1,PENDING_R2,PENDING_R2,hepatic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary acrodermatitis enteropathica,C0221036,201100,SLC39A4,1,PENDING_R2,PENDING_R2,gastrointestinal,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary angioedema type 1,C2717906,106100,SERPING1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary angioedema type 3,C1857728,610618,F12,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary angioneurotic edema,C0019243,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary antithrombin deficiency,C0272375,613118,SERPINC1,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary arterial and articular multiple calcification syndrome,C1859372,211800,NT5E,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary breast ovarian cancer syndrome,C0677776,,,0,PENDING_R2,PENDING_R2,cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary coproporphyria,C0162531,121300,CPOX,1,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary cryohydrocytosis with reduced stomatin,C1837206,608885,SLC2A1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary diffuse gastric adenocarcinoma,C1708349,137215,CDH1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary elliptocytosis,C0013902,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary factor I deficiency disease,C0019250,,,0,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary factor IX deficiency disease,C0008533,306900,F9,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary factor VIII deficiency disease,C0019069,306700,F8,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary factor X deficiency disease,C0272327,227600,F10,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Hereditary factor XI deficiency disease,C0015523,612416,F11,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
