entity,medgen_cui,omim_mim,genes,n_genes,inheritance_class,mechanism_class,organ_system_hint,in_scope,exclusion_reason,provenance
11p partial monosomy syndrome,C0206115,194072,PAX6;WT1,2,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
17p11.2 microduplication syndrome,C2931246,610883,FLCN;RAI1,2,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
2-aminoadipic 2-oxoadipic aciduria,C1859817,204750,DHTKD1,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia,C2936858,201910,CYP21A2,1,PENDING_R2,PENDING_R2,endocrine_growth,true,,clinvar:gene_condition_source_id:2026-06-17
3 beta-Hydroxysteroid dehydrogenase deficiency,C0342471,201810,HSD3B2,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-hydroxy-3-methylglutaryl-CoA synthase deficiency,C2751532,605911,HMGCS2,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-hydroxyisobutyryl-CoA hydrolase deficiency,C0342738,250620,HIBCH,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-M syndrome,C1848862,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
3-methylcrotonyl-CoA carboxylase 1 deficiency,CN028786,210200,MCCC1,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-methylcrotonyl-CoA carboxylase 2 deficiency,C1859499,210210,MCCC2,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-Methylglutaconic aciduria,C3696376,,,0,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-methylglutaconic aciduria type 1,C0342727,250950,AUH,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-Methylglutaconic aciduria type 2,C0574083,302060,TAFAZZIN,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-Methylglutaconic aciduria type 3,C0574084,258501,OPA3,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-methylglutaconic aciduria type 5,C1857776,610198,DNAJC19,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-methylglutaconic aciduria type 8,C4310650,617248,HTRA2,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-methylglutaconic aciduria type 9,C4540171,617698,TIMM50,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
"3-methylglutaconic aciduria, type VIIA",C5676967,619835,CLPB,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
"3-methylglutaconic aciduria, type VIIB",C5676893,616271,CLPB,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency,C0268297,264600,SRD5A2,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3M syndrome 1,C2678312,273750,CUL7,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
3M syndrome 2,C2752041,612921,OBSL1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
3M syndrome 3,C3280146,614205,CCDC8,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
3MC syndrome 1,C0796059,257920,MASP1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
3MC syndrome 2,C0796279,265050,COLEC11,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
3MC syndrome 3,C0796032,248340,COLEC10,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,XX ovarian dysgenesis-short stature syndrome",C4015409,616185,MCM9,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,XX sex reversal 1",C2748895,400045,SRY,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,XX sex reversal 2",C2749215,278850,SOX9,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,XX sex reversal 4",C4479552,617480,NR5A1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,xx sex reversal 5",C5394441,618901,NR2F2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,XX testicular disorder of sex development",C2936419,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,XY disorder of sex development due to testicular 17,20-desmolase deficiency",C1839840,614279,AKR1C2;AKR1C4,2,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,XY sex reversal 1",C2748896,400044,SRY,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,XY sex reversal 10",C4225331,616425,SOX9,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,XY sex reversal 11",C0266427,273250,DHX37,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,XY sex reversal 2",C1848296,300018,NR0B1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,XY sex reversal 3",C3489793,612965,NR5A1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,XY sex reversal 5",C2751317,613080,CBX2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,XY sex reversal 6",C3151064,613762,MAP3K1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,XY sex reversal 7",C1856273,233420,DHH,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"46,XY sex reversal 9",C4015129,616067,ZFPM2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
4p partial monosomy syndrome,C1956097,194190,CPLX1;CTBP1;FGFRL1;LETM1;NSD2;WHCR,6,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
5-Oxoprolinase deficiency,C0268525,260005,OPLAH,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
6-Pyruvoyl-tetrahydrobiopterin synthase deficiency,C0878676,261640,PTS,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
8q24.3 microdeletion syndrome,C3810023,615583,PUF60,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Aarskog syndrome,C0175701,305400,FGD1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Abacavir hypersensitivity,C5768819,,HLA-B,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Abacavir response,CN297565,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
ABCD syndrome,C1838099,600501,EDNRB,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Abdominal obesity-metabolic syndrome 3,C4014361,615812,DYRK1B,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Abdominal obesity-metabolic syndrome 4,C5231430,618620,CELA2A,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Abetalipoproteinaemia,C0000744,200100,MTTP,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Ablepharon macrostomia syndrome,C1860224,200110,TWIST2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
ABO blood group system,C0000778,616093,ABO,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
ABri amyloidosis,C5190835,176500,ITM2B,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Abruzzo-Erickson syndrome,C1844862,302905,TBX22,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Acatalasia,C0268419,614097,CAT,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Accelerated tumor formation, susceptibility to",C3280690,614401,MDM2,1,PENDING_R2,PENDING_R2,cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
ACCES syndrome,C5677019,619959,UBA2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Acetyl-CoA acetyltransferase-2 deficiency,C0342735,614055,ACAT2,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Acetyl-CoA: carboxylase deficiency,C0268603,613933,ACACA,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Achalasia-progeroid syndrome,C6012702,621123,BUD13,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Acheiropodia,C0265559,200500,LMBR1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Achondrogenesis type II,C0220685,200610,COL2A1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Achondrogenesis, type IA",C0265273,200600,TRIP11,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Achondrogenesis, type IB",C0265274,600972,SLC26A2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Achondroplasia,C0001080,100800,FGFR3,1,PENDING_R2,PENDING_R2,connective_skeletal,true,,clinvar:gene_condition_source_id:2026-06-17
Achromatopsia,C0152200,,ATF6;CNGA3;CNGB3;GNAT2;PDE6C;PDE6H,6,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Achromatopsia 2,C1857618,216900,CNGA3,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Achromatopsia 3,C1849792,262300,CNGB3,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Achromatopsia 4,C1841721,613856,GNAT2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Achromatopsia 6,C1864900,610024,PDE6H,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Achromatopsia 7,C4225297,616517,ATF6,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Acid phosphatase deficiency,C0268410,200950,ACP2,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
"Acne inversa, familial, 1",C4551962,142690,NCSTN,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Acne inversa, familial, 2",C3151037,613736,PSENEN,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Acne inversa, familial, 3",C3151038,613737,PSEN1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Acquired hemoglobin H disease,C0585216,300448,ATRX,1,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Acquired polycythemia vera,C0032463,263300,JAK2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Acral peeling skin syndrome,C1853354,609796,TGM5,1,PENDING_R2,PENDING_R2,dermatologic,true,,clinvar:gene_condition_source_id:2026-06-17
Acrocallosal syndrome,C0796147,200990,KIF7,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Acrocapitofemoral dysplasia,C1843096,607778,IHH,1,PENDING_R2,PENDING_R2,connective_skeletal,true,,clinvar:gene_condition_source_id:2026-06-17
Acrocephalosyndactyly type I,C0001193,101200,FGFR2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Acrodermatitis continua suppurativa of Hallopeau,C0392439,614204,IL36RN,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Acrodysostosis 1 with or without hormone resistance,C3276228,101800,PRKAR1A,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Acrodysostosis 2 with or without hormone resistance,C3553250,614613,PDE4D,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Acroerythrokeratoderma,C0025221,248300,SLURP1,1,PENDING_R2,PENDING_R2,dermatologic,true,,clinvar:gene_condition_source_id:2026-06-17
Acrofacial dysostosis Cincinnati type,C4225317,616462,POLR1A,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Acrokeratosis verruciformis of Hopf,C0265971,101900,ATP2A2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Acromelic frontonasal dysostosis,C1863616,603671,ZSWIM6,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Acromesomelic dysplasia 1, Maroteaux type",C1864356,602875,NPR2,1,PENDING_R2,PENDING_R2,connective_skeletal,true,,clinvar:gene_condition_source_id:2026-06-17
Acromesomelic dysplasia 2B,C1856738,228900,GDF5,1,PENDING_R2,PENDING_R2,connective_skeletal,true,,clinvar:gene_condition_source_id:2026-06-17
"Acromesomelic dysplasia 2C, Hunter-Thompson type",C2930970,201250,GDF5,1,PENDING_R2,PENDING_R2,connective_skeletal,true,,clinvar:gene_condition_source_id:2026-06-17
Acromesomelic dysplasia 3,C4225404,609441,BMPR1B,1,PENDING_R2,PENDING_R2,connective_skeletal,true,,clinvar:gene_condition_source_id:2026-06-17
Acromesomelic dysplasia 4,C5562028,619636,PRKG2,1,PENDING_R2,PENDING_R2,connective_skeletal,true,,clinvar:gene_condition_source_id:2026-06-17
Acromicric dysplasia,C0265287,102370,FBN1,1,PENDING_R2,PENDING_R2,connective_skeletal,true,,clinvar:gene_condition_source_id:2026-06-17
Acroosteolysis-keloid-like lesions-premature aging syndrome,C1866182,601812,PDGFRB,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
ACTB-associated syndromic thrombocytopenia,C5882677,620475,ACTB,1,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
ACTH-dependent Cushing syndrome,C0342442,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
ACTH-independent Cushing syndrome,C0342443,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
ACTH-independent macronodular adrenal hyperplasia 1,C1857451,219080,GNAS,1,PENDING_R2,PENDING_R2,endocrine_growth,true,,clinvar:gene_condition_source_id:2026-06-17
ACTH-independent macronodular adrenal hyperplasia 2,C4014803,615954,ARMC5,1,PENDING_R2,PENDING_R2,endocrine_growth,true,,clinvar:gene_condition_source_id:2026-06-17
ACTH-independent macronodular adrenal hyperplasia 3,C5975485,620990,KDM1A,1,PENDING_R2,PENDING_R2,endocrine_growth,true,,clinvar:gene_condition_source_id:2026-06-17
Actin accumulation myopathy,C3711389,161800,ACTA1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Activated PI3K-delta syndrome,CN295305,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Actn3 deficiency,C3888204,617749,ACTN3,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Acute febrile neutrophilic dermatosis,C0085077,608068,MEFV,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Acute infantile liver failure due to synthesis defect of mtDNA-encoded proteins,C3278664,613070,TRMU,1,PENDING_R2,PENDING_R2,hepatic,true,,clinvar:gene_condition_source_id:2026-06-17
Acute intermittent porphyria,C0162565,176000,HMBS,1,PENDING_R2,PENDING_R2,hematologic,true,,clinvar:gene_condition_source_id:2026-06-17
Acute lymphoid leukemia,C0023449,613065,BAX;BCR;FLT3;GNB1;NBN;NUP214;TAL1;TAL2,8,PENDING_R2,PENDING_R2,cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
Acute myeloid leukemia,C0023467,601626,CEBPA;CHIC2;DNMT3A;ETV6;FLT3;GATA2;JAK2;KIT;KRAS;LPP;MLLT10;NPM1;NUP214;PICALM;RUNX1;SH3GL1;TERT,17,PENDING_R2,PENDING_R2,cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
"Acute myeloid leukemia, M6 type",C0023440,,,0,PENDING_R2,PENDING_R2,cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
Acute promyelocytic leukemia,C0023487,612376,RARA,1,PENDING_R2,PENDING_R2,cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
Acyl-CoA dehydrogenase 9 deficiency,C4747517,611126,ACAD9,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Acyl-CoA oxidase deficiency,C1849678,264470,ACOX1,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Adams-Oliver syndrome,C0265268,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Adams-Oliver syndrome 1,C4551482,100300,ARHGAP31,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Adams-Oliver syndrome 2,C3280182,614219,DOCK6,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Adams-Oliver syndrome 3,C3553748,614814,RBPJ,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Adams-Oliver syndrome 4,C3809092,615297,EOGT,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Adams-Oliver syndrome 5,C4014970,616028,NOTCH1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Adams-Oliver syndrome 6,C4225271,616589,DLL4,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
ADan amyloidosis,C1861735,117300,ITM2B,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Adenine phosphoribosyltransferase deficiency,C0268120,614723,APRT,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Adenosine kinase deficiency,C4706555,614300,ADK,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Adenylosuccinate lyase deficiency,C0268126,103050,ADSL,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
Adermatoglyphia,C1852150,136000,SMARCAD1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Adiponectin deficiency,C2675517,612556,ADIPOQ,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
"Adrenocortical carcinoma, hereditary",C1859972,202300,TP53,1,PENDING_R2,PENDING_R2,cancer_predisp,true,,clinvar:gene_condition_source_id:2026-06-17
Adult hypophosphatasia,C0268413,146300,ALPL,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Adult polyglucosan body disease,C1849722,263570,GBE1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
ADULT syndrome,C1863204,103285,TP63,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Adult-onset foveomacular vitelliform dystrophy,C1842914,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Adult-onset proximal spinal muscular atrophy, autosomal dominant",C1854058,182980,VAPB,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Advance sleep phase syndrome, familial, 4",C5774204,620015,TIMELESS,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Advanced sleep phase syndrome 1,C3807327,604348,PER2,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Advanced sleep phase syndrome 2,C3808874,615224,CSNK1D,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Advanced sleep phase syndrome 3,C4225169,616882,PER3,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
"Agammaglobulinemia 10, autosomal dominant",C5676900,619707,SPI1,1,PENDING_R2,PENDING_R2,immunologic,true,,clinvar:gene_condition_source_id:2026-06-17
"Agammaglobulinemia 2, autosomal recessive",C3150750,613500,IGLL1,1,PENDING_R2,PENDING_R2,immunologic,true,,clinvar:gene_condition_source_id:2026-06-17
"Agammaglobulinemia 3, autosomal recessive",C3150751,613501,CD79A,1,PENDING_R2,PENDING_R2,immunologic,true,,clinvar:gene_condition_source_id:2026-06-17
"Agammaglobulinemia 4, autosomal recessive",C3150752,613502,BLNK,1,PENDING_R2,PENDING_R2,immunologic,true,,clinvar:gene_condition_source_id:2026-06-17
"Agammaglobulinemia 5, autosomal dominant",C3150753,613506,LRRC8A,1,PENDING_R2,PENDING_R2,immunologic,true,,clinvar:gene_condition_source_id:2026-06-17
"Agammaglobulinemia 6, autosomal recessive",C3150207,612692,CD79B,1,PENDING_R2,PENDING_R2,immunologic,true,,clinvar:gene_condition_source_id:2026-06-17
"Agammaglobulinemia 7, autosomal recessive",C3554689,615214,PIK3R1,1,PENDING_R2,PENDING_R2,immunologic,true,,clinvar:gene_condition_source_id:2026-06-17
"Agammaglobulinemia 8, autosomal dominant",C4310786,616941,TCF3,1,PENDING_R2,PENDING_R2,immunologic,true,,clinvar:gene_condition_source_id:2026-06-17
"Agammaglobulinemia 8b, autosomal recessive",C5676958,619824,TCF3,1,PENDING_R2,PENDING_R2,immunologic,true,,clinvar:gene_condition_source_id:2026-06-17
"Agammaglobulinemia 9, autosomal recessive",C5562059,619693,SLC39A7,1,PENDING_R2,PENDING_R2,immunologic,true,,clinvar:gene_condition_source_id:2026-06-17
Aganglionic megacolon,C0019569,,NRTN,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Age related macular degeneration 1,C1864205,603075,APOE;CFHR1;CFHR3;HMCN1,4,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Age related macular degeneration 11,C2677774,611953,CST3,1,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Age related macular degeneration 12,C3151079,613784,CX3CR1,1,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Age related macular degeneration 13,C3809523,615439,CFI,1,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Age related macular degeneration 14,C3809653,615489,C2;CFB,2,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Age related macular degeneration 15,C3810042,615591,C9,1,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Age related macular degeneration 2,C3495438,153800,ABCA4,1,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Age related macular degeneration 4,C1853147,610698,CFH,1,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Age related macular degeneration 5,C3151063,613761,ERCC6,1,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Age related macular degeneration 6,C3151060,613757,RAX2,1,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Age related macular degeneration 8,C3151070,613778,ARMS2,1,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Age related macular degeneration 9,C1969651,611378,C3,1,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Age-related macular degeneration,C0242383,,,0,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
"Agenesis of corpus callosum, cardiac, ocular, and genital syndrome",C5394523,618929,CDH2,1,PENDING_R2,PENDING_R2,eye,true,,clinvar:gene_condition_source_id:2026-06-17
Agnathia-otocephaly complex,C0265242,202650,PRRX1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
AICA-ribosiduria,C1837530,608688,ATIC,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Aicardi Goutieres syndrome,C0393591,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Aicardi-Goutieres syndrome 1,C0796126,225750,TREX1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Aicardi-Goutieres syndrome 2,C3489724,610181,RNASEH2B,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Aicardi-Goutieres syndrome 3,C1835916,610329,RNASEH2C,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Aicardi-Goutieres syndrome 4,C1835912,610333,RNASEH2A,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
Aicardi-Goutieres syndrome 5,C2749659,612952,SAMHD1,1,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
