reference_id,site_label,pair_id,context_label,shell_lab_code,charcoal_lab_code,age_shell_bp,age_shell_err,age_charcoal_bp,age_charcoal_err,delta_t_bp,delta_t_err,notes
Culleton2006,"Elk Hills, CA-KER-116","ELK_PAIR_1","Locus 1, Feature 1","CAMS-21632","CAMS-22183",1450,40,910,40,540,56.6,"Anodonta shell vs Charcoal; FRE observed"
Culleton2006,"Elk Hills, CA-KER-116","ELK_PAIR_2","Locus 1, Feature 2","CAMS-22188","CAMS-22187",1670,40,1330,40,340,56.6,"Anodonta shell vs Charcoal; FRE observed"
Culleton2006,"Elk Hills, CA-KER-116","ELK_PAIR_3","Locus 1, Feature 3","CAMS-22186","CAMS-22185",1430,40,1090,40,340,56.6,"Anodonta shell vs Charcoal; FRE observed"
