case,method,n,MAE,MAPE_percent,rel_med_percent,rel_IQR_percent,RMSE,NRMSE_percent,rho_spearman,CI95_rel_med_percent_low,CI95_rel_med_percent_high,CI95_NRMSE_percent_low,CI95_NRMSE_percent_high
2D Turbulence,gamma2,400,0.27466049890652044,68.8200216192993,59.763030017032236,70.3003554476771,0.33157833861785324,83.26467258194221,-0.2524026400165001,52.72186020744894,65.76089934725334,78.35317167506295,87.95165582590757
2D Turbulence,lambda_ci,400,0.25452938795448204,64.39451134214767,55.38515699551733,70.7397420863544,0.3125225237467444,78.59631087823806,-0.25459377871111694,46.39576693682794,60.2884776619522,73.75359691848548,83.1737022994474
2D Turbulence,ph,400,0.23582821198981996,59.87845796630192,47.91191392065986,64.39085878798718,0.29757752404296656,74.91976830195202,-0.26044025275157967,44.60861336351629,54.229336857706386,70.00461203577524,80.58743694440845
Ocean,gamma2,400,12.946709193942375,37.29990431815017,31.789492331380387,39.244958008954775,16.161734555632002,46.29847804091046,-0.4120028875180469,28.51870014224258,36.25170071083215,43.457061586916346,49.556144692007656
Ocean,lambda_ci,400,2.607035796975787,7.51088433512941,6.940934394101417,7.279205869980027,3.095607159406532,8.878959776959688,0.5072358577241107,6.3703742240231955,7.469421434414788,8.381744765421262,9.357703653987295
Ocean,ph,400,3.2615850588244153,9.432200708550017,8.85260134982048,8.977477080173077,3.8659028206919825,11.115435632423033,0.052178763617272604,7.825381012266994,9.57063784569194,10.50344552933307,11.768128187380599
TC MultiVortex (strong),gamma2,400,1.6222694891382878,55.90830131427688,49.51878455600999,60.288197935031306,2.002000532291486,69.62698498584162,0.2150756567228545,44.246893034500886,54.17294004081619,65.36930574831311,73.96329172825169
TC MultiVortex (strong),lambda_ci,400,0.599286754819027,20.82696597917316,17.7352855640935,21.50977222495208,0.7283714604489222,25.30581266324232,-0.08277314233213957,16.620932581608436,19.819773657378683,23.932090658156426,26.70456608844347
TC MultiVortex (strong),ph,400,0.5960696055695989,20.584635512947713,16.365596184683863,22.52137794196325,0.752914738931331,26.38988832168027,-0.06534322089513059,14.866653155495264,19.4963233886868,24.6992416963463,28.075024348336193
Typhoon,gamma2,400,1.4961754375808736,37.416127228419406,31.283984798008973,38.941413334046686,1.8917030326133226,47.117444246902366,0.6594112463202895,27.59328491160349,33.481577640737534,43.368908820875156,50.42015911069383
Typhoon,lambda_ci,400,0.18729022569254228,4.6557423817030035,4.098854537933113,5.016209378569627,0.23293912230398583,5.80511900132324,0.8039519621997637,3.664814113809973,4.532789195123794,5.433893516139002,6.196618633148213
Typhoon,ph,400,0.18650265229616955,4.648923026073954,4.1687601052973156,4.554153622796264,0.22826317008108837,5.65500043348623,0.7963739148369677,3.6523418086209274,4.574711921928868,5.314841582744579,6.037307246135293
